
2024/08/26 (09:10:45) | ===> btop++ v.1.3.2
2024/08/26 (09:10:45) | INFO: Logger set to INFO
2024/08/26 (09:10:45) | INFO: Logger set to DEBUG

2025/02/05 (23:00:30) | ===> btop++ v.1.4.0
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/05 (23:00:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/06 (00:26:01) | ===> btop++ v.1.4.0
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/06 (00:26:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/07 (00:35:48) | ===> btop++ v.1.4.0
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/07 (00:35:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/07 (00:36:07) | ===> btop++ v.1.4.0
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/07 (00:36:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/08 (01:35:08) | ===> btop++ v.1.4.0
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/08 (01:35:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/09 (22:37:02) | ===> btop++ v.1.4.0
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/09 (22:37:02) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (00:27:37) | ===> btop++ v.1.4.0
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (00:27:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (00:27:49) | ===> btop++ v.1.4.0
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (00:27:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (00:27:56) | ===> btop++ v.1.4.0
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (00:27:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/14 (00:30:04) | ===> btop++ v.1.4.0
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/14 (00:30:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/17 (02:56:36) | ===> btop++ v.1.4.0
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/17 (02:56:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/02/26 (00:50:29) | ===> btop++ v.1.4.0
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/02/26 (00:50:29) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/02 (05:23:00) | ===> btop++ v.1.4.0
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/02 (05:23:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/03 (00:38:03) | ===> btop++ v.1.4.0
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/03 (00:38:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/03 (23:33:43) | ===> btop++ v.1.4.0
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/03 (23:33:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/04 (03:17:16) | ===> btop++ v.1.4.0
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/04 (03:17:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/07 (02:47:51) | ===> btop++ v.1.4.0
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/07 (02:47:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/13 (21:57:43) | ===> btop++ v.1.4.0
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/13 (21:57:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/14 (22:54:24) | ===> btop++ v.1.4.0
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/14 (22:54:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/15 (19:44:49) | ===> btop++ v.1.4.0
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/15 (19:44:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/18 (19:39:37) | ===> btop++ v.1.4.0
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2025/03/18 (19:39:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2025/03/19 (01:01:24) | ===> btop++ v.1.4.0
2025/03/19 (01:01:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/19 (01:01:24) | WARNING: ROCm SMI: Failed to get PCIe throughput
2025/03/19 (01:01:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2025/03/19 (01:01:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2025/03/19 (01:01:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
